111|AGRICULTURA
112|GANADERIA
114|PESCA, CAZA Y CAPTURA
222|AGUA Y SUMINISTRO DE GAS POR DUCTOS AL CONSUMIDOR FINAL
236|EDIFICACION
237|CONSTRUCCION DE OBRAS DE INGENIERIA CIVIL U OBRA PESADA
238|TRABAJOS ESPECIALIZADOS PARA LA CONSTRUCCION
311|INDUSTRIA ALIMENTARIA
312|INDUSTRIA DE LAS BEBIDAS Y DEL TABACO
313|FABRICACION DE INSUMOS TEXTILES
314|CONFECCION DE PRODUCTOS TEXTILES, EXCEPTO PRENDAS DE VESTIR
315|FABRICACION DE PRENDAS DE VESTIR
316|FABRICACION DE PRODUCTOS DE CUERO, PIEL Y MATERIALES SUCEDANEOS, EXCEPTO PRENDAS DE VESTIR
321|INDUSTRIA DE LA MADERA
322|INDUSTRIA DEL PAPEL
323|IMPRESION E INDUSTRIAS CONEXAS
324|FABRICACION DE PRODUCTOS DERIVADOS DEL PETROLEO Y DEL CARBON
325|INDUSTRIA QUIMICA
326|INDUSTRIA DEL PLASTICO Y DEL HULE
327|FABRICACION DE PRODUCTOS A BASE DE MINERALES NO METALICOS
331|INDUSTRIAS METALICAS BASICAS
332|FABRICACION DE PRODUCTOS METALICOS
333|FABRICACION DE MAQUINARIA Y EQUIPO
334|FABRICACION DE EQUIPO DE COMPUTACION, COMUNICACION, MEDICION Y DE OTROS EQUIPOS, COMPONENTES Y ACCESORIOS
335|FABRICACION DE EQUIPO DE GENERACION ELECTRICA Y APARATOS Y ACCESORIOS ELECTRICOS
336|FABRICACION DE EQUIPO DE TRANSPORTE
337|FABRICACION DE MUEBLES Y PRODUCTOS RELACIONADOS
339|OTRAS INDUSTRIAS MANUFACTURERAS
461|COMERCIO AL POR MENOR DE ALIMENTOS, BEBIDAS Y TABACO
462|COMERCIO AL POR MENOR EN TIENDAS DE AUTOSERVICIO Y DEPARTAMENTALES
463|COMERCIO AL POR MENOR DE PRODUCTOS TEXTILES, ACCESORIOS DE VESTIR Y CALZADO
464|COMERCIO AL POR MENOR DE ARTICULOS PARA EL CUIDADO DE LA SALUD
465|COMERCIO AL POR MENOR DE ARTICULOS DE PAPELERIA, PARA EL ESPARCIMIENTO Y OTROS ARTICULOS DE USO PERSONAL
466|COMERCIO AL POR MENOR DE ENSERES DOMESTICOS, COMPUTADORAS Y ARTICULOS PARA LA DECORACION DE INTERIOR
467|COMERCIO AL POR MENOR DE ARTICULOS DE FERRETERIA, TLAPALERIA Y VIDRIOS
468|COMERCIO AL POR MENOR DE VEHICULOS DE MOTOR, REFACCIONES, COMBUSTIBLES Y LUBRICANTES
469|INTERMEDIACION Y COMERCIO AL POR MENOR POR MEDIOS MASIVOS DE COMUNICACION Y OTROS MEDIOS
481|TRANSPORTE AEREO
482|TRANSPORTE POR FERROCARRIL
483|TRANSPORTE POR AGUA
484|AUTOTRANSPORTE DE CARGA
485|TRANSPORTE TERRESTRE DE PASAJEROS, EXCEPTO POR FERROCARRIL
487|TRANSPORTE TURISTICO
488|SERVICIOS RELACIONADOS CON EL TRANSPORTE
491|SERVICIOS POSTALES
492|SERVICIOS DE MENSAJERIA Y PAQUETERIA
493|SERVICIOS DE ALMACENAMIENTO
511|EDICION DE PUBLICACIONES Y DE SOFTWARE, EXCEPTO A TRAVES DE INTERNET
512|INDUSTRIA FILMICA Y DEL VIDEO, E INDUSTRIA DEL SONIDO
515|RADIO Y TELEVISION, EXCEPTO A TRAVES DE INTERNET
516|CREACION Y DIFUSION DE CONTENIDO EXCLUSIVAMENTE A TRAVES DE INTERNET
517|OTRAS TELECOMUNICACIONES
518|PROVEEDORES DE ACCESO A INTERNET, SERVICIOS DE BUSQUEDA EN LA RED Y SERVICIOS DE PROCESAMIENTO DE INFORMACIÓN
519|OTROS SERVICIOS DE INFORMACION
524|COMPAÑIAS DE FIANZAS, SEGUROS Y PENSIONES
531|SERVICIOS INMOBILIARIOS
532|SERVICIOS DE ALQUILER DE BIENES MUEBLES
533|SERVICIOS DE ALQUILER DE MARCAS REGISTRADAS, PATENTES Y FRANQUICIAS
541|SERVICIOS PROFESIONALES, CIENTIFICOS Y TECNICOS
561|SERVICIOS DE APOYO A LOS NEGOCIOS
5611|SERVICIOS DE ADMINISTRACION DE NEGOCIOS
5612|SERVICIOS COMBINADOS DE APOYO EN INSTALACIONES
5613|SERVICIOS DE EMPLEO
5614|SERVICIOS DE APOYO SECRETARIAL, FOTOCOPIADO, COBRANZA, INVESTIGACION CREDITICIA Y SIMILARES
5615|AGENCIAS DE VIAJES Y SERVICIOS DE RESERVACIONES
5616|SERVICIOS DE INVESTIGACION, PROTECCION Y SEGURIDAD
5617|SERVICIOS DE LIMPIEZA
5619|OTROS SERVICIOS DE APOYO A LOS NEGOCIOS
611|SERVICIOS EDUCATIVOS
621|SERVICIOS MEDICOS DE CONSULTA EXTERNA Y SERVICIOS RELACIONADOS
622|HOSPITALES
623|RESIDENCIAS DE ASISTENCIA SOCIAL Y PARA EL CUIDADO DE LA SALUD
624|OTROS SERVICIOS DE ASISTENCIA SOCIAL
711|SERVICIOS ARTISTICOS Y DEPORTIVOS Y OTROS SERVICIOS RELACIONADOS
712|MUSEOS, SITIOS HISTORICOS, JARDINES BOTANICOS Y SIMILARES
713|SERVICIOS DE ENTRETENIMIENTO EN INSTALACIONES RECREATIVAS Y OTROS SERVICIOS RECREATIVOS
721|SERVICIOS DE ALOJAMIENTO TEMPORAL
722|SERVICIOS DE PREPARACION DE ALIMENTOS Y BEBIDAS
811|SERVICIOS DE REPARACION Y MANTENIMIENTO
812|SERVICIOS PERSONALES
8121|SALONES Y CLINICAS DE BELLEZA, BAÑOS PUBLICOS Y BOLERIAS
8122|LAVANDERIAS Y TINTORERIAS
8123|SERVICIOS FUNERARIOS Y ADMINISTRACION DE CEMENTERIOS
8124|ESTACIONAMIENTOS Y PENSIONES PARA AUTOMOVILES
8129|SERVICIOS DE REVELADO DE FOTOGRAFIAS Y OTROS SERVICIOS PERSONALES
813|ASOCIACIONES Y ORGANIZACIONES
