AFG|AFGANISTAN|AFGANO
ALB|ALBANIA|ALBANES
DEU|ALEMANIA|ALEMAN
AND|ANDORRA|ANDORRANO
AGO|ANGOLA|ANGOLEÑO
AIA|ANGUILA|BRITANICO
ATA|ANTARTICA|BRITANICO, FRANCES O AUSTRALIANO
ATG|ANTIGUA Y BARBUDA|DE ANTIGUA Y BARBUDA
ANT|ANTILLAS NEERLANDESAS|NEERLANDES
SAU|ARABIA SAUDITA|ARABE SAUDITA
DZA|ARGELIA|ARGELINO
ARG|ARGENTINA|ARGENTINO
ARM|ARMENIA|ARMENIO
ABW|ARUBA|NEERLANDES
AUS|AUSTRALIA|AUSTRALIANO
AUT|AUSTRIA|AUSTRIACO
AZE|AZERBAIYAN|AZERBAIYANO
BHS|BAHAMAS|BAHAMES
BHR|BAHREIN|DE BAHREIN
BGD|BANGLADESH|DE BANGLADESH
BRB|BARBADOS|BARBADENSE
BLR|BELARUS|BELARUSO
BEL|BELGICA|BELGA
BLZ|BELICE|BELICEÑO
BEN|BENIN|BENINES
BMU|BERMUDA|BRITANICO
BTN|BHUTAN|BHUTANES
BOL|BOLIVIA|BOLIVIANO
BIH|BOSNIA Y HERZEGOVINA|DE BOSNIA Y HERZEGOVINA
BWA|BOTSWANA|BOTSWANES
BRA|BRASIL|BRASILEÑO
BRN|BRUNEI DARUSSALAM|DE BRUNEI DARUSSALAM
BGR|BULGARIA|BULGARO
BFA|BURKINA FASO|BURKINABE
BDI|BURUNDI|BURUNDIANO
CPV|CABO VERDE|CABOVERDIANO
KHM|CAMBOYA|CAMBOYANO
CMR|CAMERUN|CAMERUNES
CAN|CANADA|CANADIENSE
TCD|CHAD|CHADIANO
CHL|CHILE|CHILENO
CHN|CHINA|CHINO
CYP|CHIPRE|CHIPRIOTA
COL|COLOMBIA|COLOMBIANO
COM|COMORAS|COMORANO
COG|CONGO|CONGOLEÑO
CIV|COSTA DE MARFIL|DE COSTA DE MARFIL
CRI|COSTA RICA|COSTARRICENSE
HRV|CROACIA|CROATA
CUB|CUBA|CUBANO
DNK|DINAMARCA|DANES/DINAMARQUES
DJI|DJIBOUTI|DE DJIBOUTI
DMA|DOMINICA|DE DOMINICA
ECU|ECUADOR|ECUATORIANO
EGY|EGIPTO|EGIPCIO
SLV|EL SALVADOR|SALVADOREÑO
ERI|ERITREA|ERITREO
SVK|ESLOVAQUIA|ESLOVACO
SVN|ESLOVENIA|ESLOVENO
ESP|ESPAÑA|ESPAÑOL
USA|ESTADOS UNIDOS DE AMERICA|ESTADOUNIDENSE
EST|ESTONIA|ESTONIO
ETH|ETIOPIA|ETIOPE
RUS|FEDERACION DE RUSIA|DE LA FEDERACION DE RUSIA
FJI|FIJI|DE FIJI
PHL|FILIPINAS|FILIPINO
FIN|FINLANDIA|FINLANDES
FRA|FRANCIA|FRANCES
GAB|GABON|GABONES
GMB|GAMBIA|GAMBIANO
GEO|GEORGIA|GEORGIANO
GHA|GHANA|GHANES
GIB|GIBRALTAR|BRITANICO
GRD|GRANADA|GRANADINO
GRC|GRECIA|GRIEGO
GRL|GROENLANDIA|DANES
GLP|GUADALUPE|GUADALUPANO
GUM|GUAM|ESTADOUNIDENSE
GTM|GUATEMALA|GUATEMALTECO
GUF|GUAYANA FRANCESA|FRANCES GUYANES
GIN|GUINEA|GUINEO
GNB|GUINEA BISSAU|DE GUINEA BISSAU
GNQ|GUINEA ECUATORIAL|GUINEANO
GUY|GUYANA|GUYANES
HTI|HAITI|HAITIANO
HND|HONDURAS|HONDUREÑO
HKG|HONG KONG|CHINO
HUN|HUNGRIA|HUNGARO
IND|INDIA|INDU/INDIO
IDN|INDONESIA|INDONESIO
IRN|IRAN|IRANI
IRQ|IRAQ|IRAQUI
IRL|IRLANDA|IRLANDES
BVT|ISLA BOUVET|NORUEGO
CXR|ISLA DE CHRISTMAS|AUSTRALIANO
NFK|ISLA NORFOLK|AUSTRALIANO
ISL|ISLANDIA|ISLANDES
CYM|ISLAS CAIMAN|BRITANICO
COK|ISLAS COOK|DE LAS ISLAS COOK
CCK|ISLAS DE COCOS (KEELING)|DE AUSTRALIA
FLK|ISLAS FALKLAND (MALVINAS)|BRITANICO
FRO|ISLAS FAROE|DANES
HMD|ISLAS HEARD Y MCDONALD|AUSTRALIANO
MNP|ISLAS MARIANAS DEL NORTE|ESTADOUNIDENSE
MHL|ISLAS MARSHALL|DE LAS ISLAS MARSHALL
SLB|ISLAS SALOMON|DE LAS ISLAS SALOMON
TCA|ISLAS TURCAS Y CAICOS|BRITANICO
VGB|ISLAS VIRGENES BRITANICAS|BRITANICO
ISR|ISRAEL|ISRAELI
ITA|ITALIA|ITALIANO
JAM|JAMAICA|JAMAIQUINO
JPN|JAPON|JAPONES
JOR|JORDANIA|JORDANO
KAZ|KAZAJSTAN|KAZAKO
KEN|KENIA|KENIANO
KGZ|KIRGUISTAN|KIRGUIS
KIR|KIRIBATI|KIRIBATIANO
KWT|KUWAIT|KUWAITI
LSO|LESOTHO|LESOTHO
LVA|LETONIA|LETON
LBN|LIBANO|LIBANES
LBR|LIBERIA|LIBERIANO
LBY|LIBIA|LIBIO
LIE|LIECHTENSTEIN|DE LIECHTENSTEIN
LTU|LITUANIA|LITUANO
LUX|LUXEMBURGO|LUXEMBURGUES
MAC|MACAU|CHINO
MKD|MACEDONIA|MACEDONIO
MDG|MADAGASCAR|MALGACHE
MYS|MALASIA|MALASIO
MWI|MALAWI|MALAWIANO
MDV|MALDIVAS|MALDIVO
MLI|MALI|MALIENSE
MLT|MALTA|MALTES
MAR|MARRUECOS|MARROQUI
MTQ|MARTINICA|FRANCES
MUS|MAURICIO|MAURICIANO
MRT|MAURITANIA|MAURITANO
MYT|MAYOTTE|FRANCES
MEX|MEXICO|MEXICANO
MCO|MONACO|MONEGASCO
MNG|MONGOLIA|MONGOL
MSR|MONTSERRAT|BRITANICO
MOZ|MOZAMBIQUE|MOZAMBIQUEÑO
MMR|MYANMAR|DE MYANMAR
NAM|NAMIBIA|NAMIBIANO
NRU|NAURU|NAURUANO
NPL|NEPAL|NEPALES
NIC|NICARAGUA|NICARAGÜENSE
NER|NIGER|NIGERINO
NGA|NIGERIA|NIGERIANO
NIU|NIUE|DE NIUE
NOR|NORUEGA|NORUEGO
NCL|NUEVA CALEDONIA|FRANCES
NZL|NUEVA ZELANDIA|NEOZELANDES
OMN|OMAN|OMANI
NLD|PAISES BAJOS|HOLANDES
PAK|PAKISTAN|PAKISTANI
PLW|PALAU|DE PALAU
PAN|PANAMA|PANAMEÑO
PRY|PARAGUAY|PARAGUAYO
PER|PERU|PERUANO
PCN|PITCAIRN|BRITANICO
PYF|POLINESIA FRANCESA|FRANCES
POL|POLONIA|POLACO
PRT|PORTUGAL|PORTUGUES
PRI|PUERTO RICO|ESTADOUNIDENSE
QAT|QATAR|DE QATAR
SYR|REPUBLICA ARABE SIRIA|SIRIO
CAF|REPUBLICA CENTROAFRICANA|CENTROAFRICANO
CZE|REPUBLICA CHECA|CHECO
MDA|REPUBLICA DE MOLDOVA|MOLDOVO
DMO|REPUBLICA DOMINICANA|DOMINICANO
TZA|REPUBLICA UNIDA DE TANZANIA|TANZANIANO
REU|REUNION|FRANCES
ROM|RUMANIA|RUMANO
RWA|RWANDA|RWANDES
ESH|SAHARA OCCIDENTAL|MARROQUI
WSM|SAMOA|SAMOANO
ASM|SAMOA AMERICANA|ESTADOUNIDENSE
SMR|SAN MARINO|SANMARINENSE
SPM|SAN PIERRE Y MIQUELON|FRANCES
SHN|SANTA HELENA|BRITANICO
LCA|SANTA LUCIA|SANTALUCENSE
SLE|SIERRA LEONA|SIERRALEONES
SGP|SINGAPUR|SINGAPURENSE
SOM|SOMALIA|SOMALI
LKA|SRI LANKA|DE SRI LANKA
ZAF|SUDAFRICA|SUDAFRICANO
SDN|SUDAN|SUDANES
SWE|SUECIA|SUECO
CHE|SUIZA|SUIZO
SUR|SURINAME|SURINAMES
SJM|SVALBARD Y JAN MAYEN|NORUEGO
SWZ|SWAZILANDIA|SWAZI
THA|TAILANDIA|TAILANDES
TWN|TAIWAN|CHINO
TJK|TAYIKISTAN|TAYIK
ATF|TERRITORIOS FRANCESES DEL SUR|FRANCES
TMP|TIMOR DEL ESTE|AUSTRALIANO
TGO|TOGO|TOGOLES
TKL|TOKELAU|NEOZELANDES
TON|TONGA|TONGANO
TTO|TRINIDAD Y TOBAGO|DE TRINIDAD Y TOBAGO
TUN|TUNEZ|TUNECINO
TKM|TURKMENISTAN|TURCOMANO
TUR|TURQUIA|TURCO
TUV|TUVALU|DE TUVALU
UKR|UCRANIA|UCRANIO
UGA|UGANDA|UGANDES
URY|URUGUAY|URUGUAYO
UZB|UZBEKISTAN|UZBEKO
VUT|VANUATU|DE VANUATU
VEN|VENEZUELA|VENEZOLANO
VNM|VIETNAM|VIETNAMITA
WLF|WALLIS Y FUTUNA|FRANCES
YEM|YEMEN|YEMENITA
YUG|YUGOSLAVIA|YUGOSLAVO
ZMB|ZAMBIA|ZAMBIANO
ZWE|ZIMBABWE|ZIMBABWENSE
